247816,20180101311901,2018-1-1 23:58:00,2018-1-1 23:59:00,17,17.45,92490
247822,20180101923013,2018-1-1 23:58:00,2018-1-1 23:59:00,30,30.93,95099
247824,20180101241981,2018-1-1 23:58:00,2018-1-1 23:59:00,30,30.93,92516
247884,20180101719002,2018-1-1 23:59:00,2018-1-2 23:59:00,25,24.75,95215
248004,20180102648595,2018-1-2 23:59:00,2018-1-3 23:59:00,25,10.8,97296
248005,20180102000495,2018-1-2 23:59:00,2018-1-3 23:59:00,25,9.4,96057
248610,20180103703403,2018-1-3 23:59:00,2018-1-4 23:59:00,25,4.2,94701
248611,20180103333073,2018-1-3 23:59:00,2018-1-4 23:59:00,25,10,100061
248612,20180103824154,2018-1-3 23:59:00,2018-1-4 23:59:00,25,10.2,97525
252821,20180106148938,2018-1-6 23:59:00,2018-1-7 23:59:00,25,10.5,95806
253678,20180106382612,2018-1-6 23:59:00,2018-1-8 23:59:00,25,19.8,101420
254110,20180107129074,2018-1-7 23:59:00,2018-1-9 23:59:00,25,31.6,101513
254111,20180107714427,2018-1-7 23:59:00,2018-1-9 23:59:00,25,31.9,101514
254285,20180107672035,2018-1-7 23:59:00,2018-1-9 23:59:00,25,32,101538
254294,20180107563268,2018-1-7 23:59:00,2018-1-9 23:59:00,25,31.9,101540
254315,20180107462341,2018-1-7 23:59:00,2018-1-9 23:59:00,25,31.6,101543
254316,20180107556731,2018-1-7 23:59:00,2018-1-9 23:59:00,25,31.9,101544
254479,20180108076231,2018-1-8 23:58:00,2018-1-8 23:59:00,8,8.55,100061
254495,20180108578160,2018-1-8 23:58:00,2018-1-8 23:59:00,10,8.78,97525
254528,20180108545859,2018-1-8 23:58:00,2018-1-8 23:59:00,10,9.26,96354
254533,20180108111272,2018-1-8 23:58:00,2018-1-8 23:59:00,10,6.54,101566
254584,20180108198966,2018-1-8 23:59:00,2018-1-9 23:59:00,30,32,101570
254680,20180108255027,2018-1-8 23:58:00,2018-1-8 23:59:00,30,32,93551
254737,20180108023475,2018-1-8 23:58:00,2018-1-8 23:59:00,10,10.64,96148
254836,20180108272763,2018-1-8 23:59:00,2018-1-9 23:59:00,40,32.22,101586
255021,20180109381859,2018-1-9 23:59:00,2018-1-10 23:59:00,40,19.6,92490
255022,20180109195471,2018-1-9 23:59:00,2018-1-10 23:59:00,40,10.2,100061
255025,20180109832348,2018-1-9 23:59:00,2018-1-10 23:59:00,40,5,97525
255135,20180109154806,2018-1-9 23:59:00,2018-1-11 23:59:00,40,24.7,101610
255219,20180109042493,2018-1-9 23:59:00,2018-1-11 23:59:00,40,29.7,101631
255686,20180110166125,2018-1-10 23:59:00,2018-1-11 23:59:00,40,16,92490
255780,20180110762738,2018-1-10 23:59:00,2018-1-11 23:59:00,40,9.5,94515
255781,20180110509128,2018-1-10 23:59:00,2018-1-11 23:59:00,40,9.5,96148
255783,20180110155402,2018-1-10 23:59:00,2018-1-11 23:59:00,40,9.5,97525
255785,20180110976343,2018-1-10 23:59:00,2018-1-11 23:59:00,40,9.5,100061
255787,20180110636870,2018-1-10 23:59:00,2018-1-11 23:59:00,40,10.2,96354
255795,20180110806940,2018-1-10 23:59:00,2018-1-11 23:59:00,40,10.2,92917
255828,20180110594939,2018-1-10 23:59:00,2018-1-11 23:59:00,40,7.4,94077
255829,20180110384593,2018-1-10 23:59:00,2018-1-11 23:59:00,40,9.4,92516
256017,20180110782365,2018-1-10 23:59:00,2018-1-11 23:59:00,40,6,101723
256019,20180110336330,2018-1-10 23:59:00,2018-1-11 23:59:00,40,32,101725
256022,20180110982141,2018-1-10 23:59:00,2018-1-11 23:59:00,40,32,93181
256198,20180110399568,2018-1-10 23:59:00,2018-1-16 23:59:00,40,20,99133
257146,20180112015462,2018-1-12 23:59:00,2018-1-13 23:59:00,40,23,92490
257148,20180112426058,2018-1-12 23:59:00,2018-1-13 23:59:00,40,9.5,96057
257715,20180113510745,2018-1-13 23:59:00,2018-1-14 23:59:00,40,10,96057
257716,20180113973185,2018-1-13 23:59:00,2018-1-14 23:59:00,40,7,94701
258242,20180114438339,2018-1-14 23:59:00,2018-1-15 23:59:00,40,10,96057
258247,20180114295609,2018-1-14 23:59:00,2018-1-15 23:59:00,40,10,96354
259201,20180116114852,2018-1-16 23:59:00,2018-1-17 23:59:00,40,11,92508
259202,20180116130976,2018-1-16 23:59:00,2018-1-17 23:59:00,40,12.6,94515
259278,20180116630964,2018-1-16 23:59:00,2018-1-18 23:59:00,40,22.5,101420
