1000032,366612,提货,山东,济南,,117.02496707,36.68278473,1,0
1000033,366612,卸货,山东,济宁,汶上县,116.50644368,35.71570127,1,0
1000095,366642,提货,广东,东莞,莞城区,113.82645695,23.08030959,1,0
1000096,366642,卸货,陕西,西安,,108.90007948,34.38331321,0,0
1000097,366642,卸货,陕西,西安,户县,108.59248134,34.00383365,1,1
1000148,366668,提货,陕西,西安,蓝田县,109.42339003,34.10078693,1,0
1000149,366668,卸货,甘肃,兰州,榆中县,104.00561887,35.95928026,1,0
1000156,366672,提货,广东,中山,,113.25335501,22.66907834,1,0
1000157,366672,卸货,广东,梅州,,115.78890415,23.91942658,1,0
1000162,366675,提货,广东,中山,,113.25335501,22.66907834,1,0
1000163,366675,卸货,广东,惠州,,114.42655816,23.08068057,1,0
1000171,366679,提货,广东,中山,,113.25335501,22.66907834,1,0
1000172,366679,卸货,广东,东莞,,113.81479641,23.05828484,1,0
1000173,366680,提货,广东,中山,,113.25335501,22.66907834,1,0
1000174,366680,卸货,广东,东莞,,113.81479641,23.05828484,1,0
1000177,366682,提货,广东,中山,,113.25335501,22.66907834,1,0
1000178,366682,卸货,广东,东莞,,113.81257113,23.05767035,0,0
1000179,366682,卸货,广东,东莞,,113.89350241,23.06900252,1,1
1000180,366683,提货,广东,中山,,113.31250753,22.59730954,1,0
1000181,366683,卸货,广东,东莞,,113.89350241,23.06900252,1,0
1000186,366686,提货,广东,中山,,113.31250753,22.59730954,1,0
1000187,366686,卸货,广东,东莞,,113.82124408,22.7777261,1,0
1000192,366689,提货,广东,中山,,113.31250753,22.59730954,1,0
1000193,366689,卸货,广东,东莞,,114.14826538,22.81991448,1,0
1000210,366698,提货,安徽,马鞍山,花山区,118.49352883,31.74128723,1,0
1000211,366698,卸货,浙江,湖州,德清县,120.28845149,30.55857612,1,0
1000212,366699,提货,安徽,马鞍山,花山区,118.49352883,31.74128723,1,0
1000213,366699,卸货,浙江,湖州,德清县,120.28845149,30.55857612,1,0
1000216,366701,提货,陕西,西安,阎良区,109.31341715,34.68637308,1,0
1000217,366701,卸货,四川,成都,龙泉驿区,104.2688882,30.62158345,1,0
1000287,366729,提货,河北,廊坊,霸州市,116.72842508,39.16343949,1,0
1000288,366729,卸货,广东,惠州,惠东县,114.67432737,23.02554271,1,0
1000289,366730,提货,福建,泉州,南安市,118.435561,24.86120198,1,0
1000290,366730,卸货,湖南,长沙,望城区,112.84853518,28.27790187,1,0
1000291,366731,提货,福建,泉州,南安市,118.435561,24.86120198,1,0
1000292,366731,卸货,湖南,长沙,望城区,112.84853518,28.27790187,1,0
1000395,366782,提货,上海,上海,闸北区,121.4607898,31.25049242,1,0
1000396,366782,卸货,河南,郑州,二七区,113.53850693,34.69782801,1,0
1000416,366789,提货,浙江,宁波,宁海县,121.40338814,29.29631347,1,0
1000417,366789,提货,浙江,宁波,江北区,121.49329903,29.96639219,0,1
1000418,366789,卸货,北京,北京,通州区,116.70852557,39.83533417,1,0
1000439,366798,提货,江西,赣州,章贡区,114.89186345,25.85332222,1,0
1000440,366798,卸货,广东,东莞,莞城区,114.17560299,22.7223158,1,0
1000541,366848,提货,陕西,西安,蓝田县,109.42339003,34.10078693,1,0
1000542,366848,卸货,陕西,汉中,汉台区,107.04616716,33.18720416,1,0
1000585,366870,提货,陕西,宝鸡,陈仓区,107.53194267,34.32368724,1,0
1000586,366870,卸货,甘肃,临夏,和政县,103.2772619,35.3437079,1,0
1000673,366907,提货,安徽,滁州,来安县,118.42334838,32.39972974,1,0
1000674,366907,卸货,安徽,合肥,包河区,117.28636343,31.73866504,1,0
1000731,366936,提货,安徽,芜湖,,118.45905379,31.36397457,1,0
1000732,366936,卸货,安徽,芜湖,,118.40179848,31.38304249,1,0
1000733,366937,提货,安徽,芜湖,,118.45905379,31.36397457,1,0
1000734,366937,卸货,安徽,芜湖,,118.40179848,31.38304249,1,0
1000739,366940,提货,安徽,滁州,来安县,118.42334838,32.39972974,1,0
1000740,366940,卸货,安徽,合肥,包河区,117.28636343,31.73866504,1,0
1000741,366941,提货,陕西,西安,蓝田县,109.42339003,34.10078693,1,0
1000742,366941,卸货,山西,吕梁,孝义市,111.63764577,37.11813278,1,0
1000743,366942,提货,福建,泉州,南安市,118.435561,24.86120198,1,0
1000744,366942,卸货,湖南,长沙,望城区,112.84853518,28.27790187,1,0
1000831,366984,提货,上海,上海,松江区,121.29916419,31.10679476,1,0
1000832,366984,卸货,浙江,嘉兴,桐乡市,120.58610386,30.62960928,1,0
1000861,366999,提货,安徽,马鞍山,雨山区,118.49709956,31.6256357,1,0
1000862,366999,卸货,江苏,南京,栖霞区,119.0918205,32.21635604,1,0
1000875,367006,提货,广东,中山,,113.31250753,22.59730954,1,0
1000876,367006,卸货,广东,东莞,,113.65585602,22.85136577,0,0
1000877,367006,卸货,广东,东莞,,113.84753067,23.11695294,1,1
1000880,367008,提货,广东,中山,,113.25335501,22.66907834,1,0
1000881,367008,卸货,广东,东莞,,113.81479641,23.05828484,0,0
1000882,367008,卸货,广东,东莞,,113.89350241,23.06900252,0,1
1000883,367008,卸货,广东,东莞,,113.81479641,23.05828484,1,2
1000884,367009,提货,广东,中山,,113.25335501,22.66907834,1,0
1000885,367009,卸货,广东,东莞,,113.81257113,23.05767035,1,0
1000886,367010,提货,广东,中山,,113.31250753,22.59730954,1,0
1000887,367010,卸货,广东,东莞,,113.68479945,23.01669262,1,0
1000888,367011,提货,广东,中山,,113.31250753,22.59730954,1,0
1000889,367011,卸货,广东,东莞,,113.89511255,22.99271664,1,0
1000890,367012,提货,广东,中山,,113.25335501,22.66907834,1,0
1000891,367012,卸货,广东,东莞,,113.89511255,22.99271664,1,0
1000892,367013,提货,广东,中山,,113.25335501,22.66907834,1,0
1000893,367013,卸货,广东,东莞,,114.10313993,22.79729171,1,0
1000894,367014,提货,广东,中山,,113.25335501,22.66907834,1,0
1000895,367014,卸货,广东,惠州,,114.42655816,23.08068057,1,0
1000896,367015,提货,广东,中山,,113.31250753,22.59730954,1,0
1000897,367015,卸货,广东,惠州,,114.42697957,23.14981112,1,0
