100000;90;100;敞车;上K0**9D;13
100003;90;40;敞车;西B1**8E;13
100005;90;40;敞车;西B3**6G;13
100008;75;60;高栏;西B7**9D;13
100009;90;40;敞车;西B3**9G;13
100023;58;40;高栏;工J6**18;9.6
100029;60;40;高栏;周F7**18;9.6
100036;75;60;高栏;西B8**8D;13
100038;120;30;敞车;周D2**28;17.5
100039;120;100;敞车;中E6**19;17.5
100041;70;60;高栏;西B7**8B;13
100044;70;60;高栏;西B2**7D;13
100071;40;35;高栏;月AN**13;6.8
100078;70;60;高栏;西B7**0E;13
100091;60;15;敞车;周B2**29;9.6
100092;60;40;高栏;周B5**06;9.6
100221;17;55;敞车;周S7**91;17.5
100323;60;52;高栏;月CH**55;9.6
100335;70;33;敞车;西BX**96;13
100338;70;60;高栏;国AW**81;13
100339;70;60;高栏;国AW**90;13
100371;55;40;高栏;工H7**57;9.6
100373;75;60;高栏;工RM**95;13
100383;75;60;高栏;西E8**29;13
100393;70;60;高栏;西B0**9D;13
100394;70;60;高栏;西B7**1E;13
100410;90;40;敞车;西B4**4H;13
100415;90;40;敞车;西A9**AA;13
100421;100;50;高栏;周B4**36;13
100440;80;80;高栏;下C9**15;13
100443;60;30;高栏;周N8**89;9.6
100467;200;156;敞车;月CD**28;17.5
100479;75;60;高栏;月CD**50;13
100484;60;32;高栏;西JN**38;13
100489;55;40;高栏;工J8**38;9.6
100499;55;15;高栏;周M3**60;9.6
100503;50;35;敞车;周KL**87;6.8
100519;75;60;高栏;西DK**38;13
100533;55;40;高栏;工RM**85;9.6
100536;55;40;高栏;工RE**26;9.6
100542;60;60;高栏;工RM**50;9.6
100579;60;60;高栏;西JS**57;13
100607;60;58.22;高栏;周M9**09;9.6
100629;60;60;高栏;工RK**39;13
100632;120;100;敞车;周A6**40;17.5
100653;130;75;厢车;农AH**29;17.5
100682;75;60;高栏;工D6**32;13
100697;55;40;高栏;工M3**79;9.6
100706;75;60;高栏;西DQ**41;13
100721;70;60;高栏;右EB**69;13
100729;65;61.207;高栏;月BX**88;9.6
100734;60;55.273;高栏;月D7**12;9.6
100736;40;55;高栏;右AR**85;9.6
100744;70;110;高栏;右C6**83;8.6
100755;75;60;高栏;西E7**50;13
